repository,owner,repo_name,github_url,dataset_index,stars,forks,issues,pull_requests,description,website,watchers,contributors_count,releases_count,fork_ratio,issue_ratio,pr_ratio,engagement_score,created_at,pushed_at,updated_at,language,has_issues,has_projects,has_wiki,has_pages,private,fork,archived,disabled,size,open_issues_count,default_branch,license,topics,visibility,homepage,popularity_tier,activity_level,maturity_level,community_health,commit_velocity_score,release_cadence_score,maintenance_activity_score,development_consistency_score,execution_velocity_composite,team_resilience_score,community_health_score,growth_trajectory_score,network_effects_score,team_community_composite,operational_readiness_score,code_quality_score,api_stability_score,documentation_score,technical_maturity_composite,problem_ambition_score,commercial_viability_score,technology_differentiation_score,market_readiness_score,market_positioning_composite,category_potential_score,bsv_investment_score
weaviate/weaviate,weaviate,weaviate,https://github.com/weaviate/weaviate,85,14550,1076,9101,6524,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",https://weaviate.io/developers/weaviate/,1455,322,14,0.07395189003436427,0.6254982817869416,0.4483848797250859,0.524316578889626,2017-04-07T00:00:00Z,2025-08-18T14:36:24Z,2025-09-03T14:36:24Z,TypeScript,True,True,True,True,False,False,False,False,1455,2730,main,Apache-2.0,['database'],public,https://weaviate.io/developers/weaviate/,popular,very_high,developing,0.6730721649484537,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
qdrant/qdrant,qdrant,qdrant,https://github.com/qdrant/qdrant,86,25875,1809,6816,5314,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",https://qdrant.tech,2587,542,25,0.06991304347826087,0.2634202898550725,0.2053719806763285,0.22256384568511056,2017-06-30T00:00:00Z,2025-04-16T14:36:24Z,2025-07-16T14:36:24Z,Go,True,True,True,True,False,False,False,False,2587,2044,main,MIT,"['ai', 'database']",public,https://qdrant.tech,popular,very_high,developing,0.625847342995169,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
milvus-io/milvus,milvus-io,milvus,https://github.com/milvus-io/milvus,87,37128,3391,9815,26649,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",https://milvus.io,3712,1017,37,0.09133268692092221,0.26435574229691877,0.7177601809954751,0.47855318141635134,2019-07-02T00:00:00Z,2025-07-11T14:36:24Z,2025-06-26T14:36:24Z,Python,True,True,True,True,False,False,False,False,3712,2944,main,MIT,['database'],public,https://milvus.io,viral,very_high,mature,0.3677224736048265,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
marqo-ai/marqo,marqo-ai,marqo,https://github.com/marqo-ai/marqo,88,4938,214,1204,1030,Unified embedding generation and search engine. Also available on cloud - cloud.marqo.ai,https://www.marqo.ai/,493,64,4,0.043337383556095586,0.24382341028756582,0.20858647225597407,0.2143941137895561,2017-11-21T00:00:00Z,2025-08-08T14:36:24Z,2025-06-15T14:36:24Z,Go,True,True,True,True,False,False,False,False,493,361,main,MIT,['ai'],public,https://www.marqo.ai/,established,moderate,growing,0.5336573511543135,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
typesense/typesense,typesense,typesense,https://github.com/typesense/typesense,89,24317,807,2503,761,"Open Source alternative to Algolia + Pinecone and an Easier-to-Use alternative to ElasticSearch ⚡ 🔍 ✨ Fast, typo tolerant, in-memory fuzzy Search Engine for building delightful search experiences",https://typesense.org,2431,242,24,0.0331866595385944,0.10293210511165028,0.031294978821400664,0.05571955667669583,2017-01-16T00:00:00Z,2025-05-17T14:36:24Z,2025-04-29T14:36:24Z,Go,True,True,True,True,False,False,False,False,2431,750,main,MIT,[],public,https://typesense.org,popular,moderate,developing,0.2132006415265041,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.6249999999999999,0.0,0.0,0,0.5172413793103449,0.5172413793103446,0.517241379310345
zincsearch/zincsearch,zincsearch,zincsearch,https://github.com/zincsearch/zincsearch,90,17539,759,923,635,"ZincSearch . A lightweight alternative to elasticsearch that requires minimal resources, written in Go.",https://zincsearch-docs.zinc.dev,1753,227,17,0.04327498717144649,0.052625577284907916,0.03620502879297566,0.03308079037754557,2018-10-11T00:00:00Z,2025-07-16T14:36:24Z,2025-03-19T14:36:24Z,Go,True,True,True,True,False,False,False,False,1753,276,main,BSD-3-Clause,[],public,https://zincsearch-docs.zinc.dev,popular,moderate,developing,0.20813045213524145,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
quickwit-oss/quickwit,quickwit-oss,quickwit,https://github.com/quickwit-oss/quickwit,91,10402,485,5804,3404,"Cloud-native search engine for observability. An open-source alternative to Datadog, Elasticsearch, Loki, and Tempo.",https://quickwit.io,1040,145,10,0.04662564891367045,0.5579696212266871,0.3272447606229571,0.4302293586354586,2016-10-22T00:00:00Z,2025-07-10T14:36:24Z,2025-09-05T14:36:24Z,Go,True,True,True,True,False,False,False,False,1040,1741,main,MIT,['monitoring'],public,https://quickwit.io,popular,high,developing,0.7662564891367045,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
openobserve/openobserve,openobserve,openobserve,https://github.com/openobserve/openobserve,92,16557,650,8213,5494,"🚀 10x easier, 🚀 140x lower storage cost, 🚀 high performance,  🚀 petabyte scale - Elasticsearch/Splunk/Datadog alternative for 🚀 (logs, metrics, traces, RUM, Error tracking, Session replay).",https://openobserve.ai,1655,195,16,0.03925831974391496,0.4960439693181132,0.33182339795856736,0.40163098003407743,2017-10-24T00:00:00Z,2025-07-30T14:36:24Z,2025-07-04T14:36:24Z,Go,True,True,True,True,False,False,False,False,1655,2463,main,MIT,['monitoring'],public,https://openobserve.ai,popular,very_high,developing,0.782786736727668,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.6249999999999999,0.0,0.0,0,0.5172413793103449,0.5172413793103446,0.517241379310345
grafana/loki,grafana,loki,https://github.com/grafana/loki,93,26413,3782,9830,13629,"Like Prometheus, but for logs.",https://grafana.com/loki,2641,1134,26,0.14318706697459585,0.3721652216711468,0.5159959111043804,0.43169887364421544,2020-04-14T00:00:00Z,2025-06-20T14:36:24Z,2025-07-31T14:36:24Z,Go,True,True,True,True,False,False,False,False,2641,2949,main,Apache-2.0,[],public,https://grafana.com/loki,popular,very_high,developing,0.5521750653087495,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
VictoriaMetrics/VictoriaMetrics,VictoriaMetrics,VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,94,14986,1456,9201,4887,"VictoriaMetrics: fast, cost-effective monitoring solution and time series database",https://victoriametrics.com/,1498,436,14,0.09715734685706659,0.613973041505405,0.3261043640731349,0.4575889960202304,2021-12-06T00:00:00Z,2025-07-08T14:36:24Z,2025-07-23T14:36:24Z,Rust,True,True,True,True,False,False,False,False,1498,2760,main,MIT,"['database', 'monitoring']",public,https://victoriametrics.com/,popular,very_high,developing,0.8741892432937408,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.41379310344827597,0.41379310344827563,0.4137931034482758
cortexproject/cortex,cortexproject,cortex,https://github.com/cortexproject/cortex,95,5671,831,6900,4931,"A horizontally scalable, highly available, multi-tenant, long term Prometheus.",https://cortexmetrics.io/,567,249,5,0.14653500264503616,1.216716628460589,0.8695115499911832,1.0,2019-10-29T00:00:00Z,2025-08-27T14:36:24Z,2025-08-19T14:36:24Z,Java,True,True,True,True,False,False,False,False,567,2070,main,BSD-3-Clause,['ai'],public,https://cortexmetrics.io/,established,very_high,growing,0.1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
thanos-io/thanos,thanos-io,thanos,https://github.com/thanos-io/thanos,96,13695,2203,7917,5096,Highly available Prometheus setup with long term storage capabilities. A CNCF Incubating project.,https://thanos.io,1369,660,13,0.16086162833150786,0.5780941949616648,0.3721066082511866,0.4626374324634216,2019-12-25T00:00:00Z,2025-09-02T14:36:24Z,2025-08-16T14:36:24Z,Go,True,True,True,True,False,False,False,False,1369,2375,main,BSD-3-Clause,['ai'],public,https://thanos.io,popular,very_high,developing,0.6828331507849581,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
m3db/m3,m3db,m3,https://github.com/m3db/m3,97,4847,464,4305,3713,"M3 monorepo - Distributed TSDB, Aggregator and Query Engine, Prometheus Sidecar, Graphite Compatible, Metrics Platform",https://m3db.io/,484,139,4,0.09572931710336291,0.8881782545904683,0.7660408500103156,0.8137242688980667,2020-09-18T00:00:00Z,2025-09-01T14:36:24Z,2025-08-21T14:36:24Z,Go,True,True,True,True,False,False,False,False,484,1291,main,MIT,"['database', 'monitoring']",public,https://m3db.io/,established,high,growing,0.21060449762739844,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
skypilot-org/skypilot,skypilot-org,skypilot,https://github.com/skypilot-org/skypilot,98,8697,771,343,143,"Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, 17+ clouds, or on-prem).",https://docs.skypilot.co/en/latest/docs/index.html,869,231,8,0.0886512590548465,0.03943888697251926,0.016442451420029897,0.016649322428947393,2019-05-21T00:00:00Z,2025-06-24T14:36:24Z,2024-12-31T14:36:24Z,Python,True,True,True,True,False,False,False,False,869,102,main,Apache-2.0,"['ai', 'devops']",public,https://docs.skypilot.co/en/latest/docs/index.html,established,low,developing,0.3139473381625848,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
semaphoreio/semaphore,semaphoreio,semaphore,https://github.com/semaphoreio/semaphore,99,1300,62,76,13,Semaphore is an open source CI/CD platform. Self-host Semaphore on your own servers or on a cloud provider.,https://semaphore.io/,130,18,1,0.047692307692307694,0.05846153846153846,0.01,0.022922941502810955,2019-11-16T00:00:00Z,2025-02-18T14:36:24Z,2025-03-19T14:36:24Z,Python,True,True,True,True,False,False,False,False,130,22,main,Apache-2.0,['devops'],public,https://semaphore.io/,established,minimal,early,0.19984615384615384,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965519,0.8275862068965516,0.8275862068965516
robotmcp/ros-mcp-server,robotmcp,ros-mcp-server,https://github.com/robotmcp/ros-mcp-server,100,414,70,11,2,Connect AI models like Claude & GPT with robots using MCP and ROS.,,41,21,1,0.16908212560386474,0.026570048309178744,0.004830917874396135,0.004441207360564447,2018-08-20T00:00:00Z,2025-04-28T14:36:24Z,2025-04-17T14:36:24Z,TypeScript,True,False,False,False,False,False,False,False,100,3,main,Apache-2.0,['ai'],public,,emerging,minimal,early,0.11884057971014497,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344829,0.680235413415183,0.680235413415183
